settlement_date,ticker,sector,market_cap_tier,asset_class,counterparty_id,counterparty_type,counterparty_size,quantity_failed,price_usd,fail_value_usd,daily_volume_shares,fail_rate_pct,days_failed_consecutive,settlement_lag_days,slo_breach,threshold_flag,fail_reason,regime_base_mult,is_post_t1
2024-01-02,SOFI,Financials,mid,Financials Equity,REGB_A,Regional Broker,mid,500000,10.52,5257705.53,52179178,0.9582,1,3,0,0,SSI Mismatch,1.0,0
2024-01-02,SPCE,Consumer,mid,Consumer Equity,FOREIGN_A,Foreign Dealer,large,415528,1.2,498522.91,33692986,1.2333,1,3,0,0,Corporate Action,1.0,0
2024-01-02,SPCE,Consumer,mid,Consumer Equity,PRIME_B,Prime Broker,large,500000,1.2,599866.81,33692986,1.484,1,2,0,0,SSI Mismatch,1.0,0
2024-01-02,SPCE,Consumer,mid,Consumer Equity,CUSTODY_B,Custodian,large,500000,1.2,599866.81,33692986,1.484,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-02,QQQ,ETF,large,ETF,REGB_B,Regional Broker,mid,102103,489.7,49999562.0,40679973,0.251,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-02,QQQ,ETF,large,ETF,REGB_A,Regional Broker,mid,102103,489.7,49999562.0,40679973,0.251,1,2,0,0,Custodian Delay,1.0,0
2024-01-02,IWM,ETF,mid,ETF,HEDGE_A,Hedge Fund,mid,232869,214.71,49999785.59,45037055,0.5171,1,3,0,0,Short Sale Locate Failure,1.0,0
2024-01-02,TLT,Bond ETF,large,Bond ETF,CUSTODY_A,Custodian,large,177727,94.95,16875185.02,21232722,0.837,1,2,0,0,Custodian Delay,1.0,0
2024-01-03,AAPL,Technology,large,Technology Equity,REGB_B,Regional Broker,mid,270266,185.0,49999942.75,66441177,0.4068,1,2,0,0,System Issue,1.0,0
2024-01-03,MSFT,Technology,large,Technology Equity,HEDGE_A,Hedge Fund,mid,120420,415.21,49999824.32,21411282,0.5624,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-03,MSFT,Technology,large,Technology Equity,REGB_B,Regional Broker,mid,120420,415.21,49999824.32,21411282,0.5624,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-03,GOOGL,Technology,large,Technology Equity,CUSTODY_B,Custodian,large,285565,175.09,49999927.31,24512738,1.165,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-03,AMZN,Consumer,large,Consumer Equity,PRIME_B,Prime Broker,large,269791,185.33,49999846.58,40317395,0.6692,1,5,1,0,Short Sale Locate Failure,1.0,0
2024-01-03,META,Technology,large,Technology Equity,PRIME_C,Prime Broker,large,96130,520.13,49999674.02,14719712,0.6531,1,3,0,0,System Issue,1.0,0
2024-01-03,TSLA,Consumer,large,Consumer Equity,REGB_B,Regional Broker,mid,203873,245.25,49999863.44,124523745,0.1637,1,2,0,0,Corporate Action,1.0,0
2024-01-03,TSLA,Consumer,large,Consumer Equity,CUSTODY_A,Custodian,large,203873,245.25,49999863.44,124523745,0.1637,1,4,1,0,Corporate Action,1.0,0
2024-01-03,MS,Financials,large,Financials Equity,FOREIGN_A,Foreign Dealer,large,62130,100.16,6223249.3,5266359,1.1798,1,2,0,0,FX Settlement Mismatch,1.0,0
2024-01-03,JNJ,Healthcare,large,Healthcare Equity,PRIME_A,Prime Broker,large,24757,155.25,3843634.85,7971453,0.3106,1,2,0,0,System Issue,1.0,0
2024-01-03,JNJ,Healthcare,large,Healthcare Equity,PRIME_C,Prime Broker,large,93749,155.25,14554951.07,7971453,1.1761,1,3,0,0,Short Sale Locate Failure,1.0,0
2024-01-03,PFE,Healthcare,large,Healthcare Equity,HEDGE_A,Hedge Fund,mid,500000,28.04,14018899.41,37351598,1.3386,1,3,0,0,SSI Mismatch,1.0,0
2024-01-03,PFE,Healthcare,large,Healthcare Equity,PRIME_B,Prime Broker,large,468904,28.04,13147036.02,37351598,1.2554,1,3,0,0,SSI Mismatch,1.0,0
2024-01-03,PFE,Healthcare,large,Healthcare Equity,REGB_A,Regional Broker,mid,342896,28.04,9614049.07,37351598,0.918,1,2,0,0,SSI Mismatch,1.0,0
2024-01-03,MRK,Healthcare,large,Healthcare Equity,PRIME_A,Prime Broker,large,135308,130.05,17596906.83,8250519,1.64,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-03,WMT,Consumer,large,Consumer Equity,PRIME_A,Prime Broker,large,23814,195.26,4649841.84,9350567,0.2547,1,3,0,0,SSI Mismatch,1.0,0
2024-01-03,WMT,Consumer,large,Consumer Equity,FOREIGN_B,Foreign Dealer,large,140253,195.26,27385330.8,9350567,1.4999,1,4,1,0,SSI Mismatch,1.0,0
2024-01-03,CLOV,Healthcare,mid,Healthcare Equity,PRIME_B,Prime Broker,large,315542,1.8,568044.45,19779527,1.5953,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-03,SPY,ETF,large,ETF,FOREIGN_B,Foreign Dealer,large,87633,570.56,49999661.79,66398023,0.132,1,2,0,0,SSI Mismatch,1.0,0
2024-01-03,SPY,ETF,large,ETF,HEDGE_B,Hedge Fund,mid,87633,570.56,49999661.79,66398023,0.132,1,3,0,0,Counterparty Error,1.0,0
2024-01-03,QQQ,ETF,large,ETF,FOREIGN_A,Foreign Dealer,large,102140,489.52,49999632.72,41965407,0.2434,1,2,0,0,FX Settlement Mismatch,1.0,0
2024-01-03,TLT,Bond ETF,large,Bond ETF,FOREIGN_A,Foreign Dealer,large,125441,95.0,11916926.36,27986678,0.4482,1,2,0,0,SSI Mismatch,1.0,0
2024-01-04,MSFT,Technology,large,Technology Equity,REGB_A,Regional Broker,mid,120596,414.61,49999921.15,26605161,0.4533,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-04,GOOGL,Technology,large,Technology Equity,PRIME_B,Prime Broker,large,164553,175.14,28819824.77,37110848,0.4434,1,4,1,0,SSI Mismatch,1.0,0
2024-01-04,GOOGL,Technology,large,Technology Equity,CUSTODY_A,Custodian,large,285485,175.14,49999864.33,37110848,0.7693,2,2,0,0,Securities Lending Recall,1.0,0
2024-01-04,AMZN,Consumer,large,Consumer Equity,FOREIGN_A,Foreign Dealer,large,270157,185.08,49999986.96,55041988,0.4908,1,2,0,0,Custodian Delay,1.0,0
2024-01-04,NVDA,Technology,large,Technology Equity,CUSTODY_B,Custodian,large,384218,130.13,49999912.95,564530385,0.0681,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-04,NVDA,Technology,large,Technology Equity,PRIME_B,Prime Broker,large,384218,130.13,49999912.95,564530385,0.0681,1,2,0,0,Custodian Delay,1.0,0
2024-01-04,META,Technology,large,Technology Equity,REGB_B,Regional Broker,mid,96143,520.06,49999672.58,33676291,0.2855,1,2,0,0,SSI Mismatch,1.0,0
2024-01-04,JPM,Financials,large,Financials Equity,FOREIGN_B,Foreign Dealer,large,102371,199.92,20465738.5,10750374,0.9523,1,2,0,0,Custodian Delay,1.0,0
2024-01-04,GS,Financials,large,Financials Equity,CUSTODY_B,Custodian,large,56313,478.79,26962089.14,4985998,1.1294,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-04,JNJ,Healthcare,large,Healthcare Equity,FOREIGN_B,Foreign Dealer,large,133395,154.75,20642867.66,10809864,1.234,1,2,0,0,Corporate Action,1.0,0
2024-01-04,JNJ,Healthcare,large,Healthcare Equity,PRIME_B,Prime Broker,large,72177,154.75,11169386.1,10809864,0.6677,1,2,0,0,Custodian Delay,1.0,0
2024-01-04,JNJ,Healthcare,large,Healthcare Equity,HEDGE_A,Hedge Fund,mid,176450,154.75,27305626.13,10809864,1.6323,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-04,MRK,Healthcare,large,Healthcare Equity,HEDGE_B,Hedge Fund,mid,60038,129.71,7787463.0,7244898,0.8287,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-04,WMT,Consumer,large,Consumer Equity,REGB_B,Regional Broker,mid,78280,194.84,15252032.87,9267167,0.8447,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-04,COST,Consumer,large,Consumer Equity,HEDGE_A,Hedge Fund,mid,56329,887.63,49999467.45,4352677,1.2941,1,4,1,0,Short Sale Locate Failure,1.0,0
2024-01-04,COST,Consumer,large,Consumer Equity,HEDGE_B,Hedge Fund,mid,39238,887.63,34828935.43,4352677,0.9015,1,5,1,0,Securities Lending Recall,1.0,0
2024-01-04,PLTR,Technology,mid,Technology Equity,FOREIGN_A,Foreign Dealer,large,500000,25.0,12498074.85,60762609,0.8229,1,3,0,0,Custodian Delay,1.0,0
2024-01-04,OPEN,Financials,mid,Financials Equity,PRIME_C,Prime Broker,large,500000,2.79,1396661.94,17525097,2.8531,1,2,0,0,System Issue,1.0,0
2024-01-04,SOFI,Financials,mid,Financials Equity,HEDGE_B,Hedge Fund,mid,500000,10.49,5246936.44,51392086,0.9729,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-04,SOFI,Financials,mid,Financials Equity,CUSTODY_A,Custodian,large,500000,10.49,5246936.44,51392086,0.9729,1,2,0,0,Custodian Delay,1.0,0
2024-01-04,HOOD,Financials,mid,Financials Equity,PRIME_A,Prime Broker,large,500000,18.0,8999318.76,43593352,1.147,1,5,1,0,Short Sale Locate Failure,1.0,0
2024-01-04,SPCE,Consumer,mid,Consumer Equity,CUSTODY_B,Custodian,large,500000,1.2,602070.53,33263595,1.5031,1,2,0,0,System Issue,1.0,0
2024-01-04,QQQ,ETF,large,ETF,REGB_B,Regional Broker,mid,102071,489.85,49999961.31,33006936,0.3092,2,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-04,ARK,ETF,mid,ETF,PRIME_C,Prime Broker,large,175625,52.06,9142732.58,7407444,2.3709,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-05,AAPL,Technology,large,Technology Equity,CUSTODY_B,Custodian,large,271255,184.33,49999823.27,51029226,0.5316,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-05,AAPL,Technology,large,Technology Equity,REGB_A,Regional Broker,mid,271255,184.33,49999823.27,51029226,0.5316,1,4,1,0,System Issue,1.0,0
2024-01-05,GOOGL,Technology,large,Technology Equity,REGB_A,Regional Broker,mid,271026,175.06,47446089.99,28275300,0.9585,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-05,NVDA,Technology,large,Technology Equity,CUSTODY_B,Custodian,large,382834,130.6,49999923.63,404552116,0.0946,2,3,0,0,Custodian Delay,1.0,0
2024-01-05,META,Technology,large,Technology Equity,REGB_A,Regional Broker,mid,96196,519.77,49999880.04,18465497,0.5209,1,2,0,0,SSI Mismatch,1.0,0
2024-01-05,TSLA,Consumer,large,Consumer Equity,FOREIGN_A,Foreign Dealer,large,203981,245.12,49999993.69,118732011,0.1718,1,3,0,0,SSI Mismatch,1.0,0
2024-01-05,JPM,Financials,large,Financials Equity,FOREIGN_A,Foreign Dealer,large,110948,200.17,22208311.46,13263417,0.8365,1,2,0,0,FX Settlement Mismatch,1.0,0
2024-01-05,MS,Financials,large,Financials Equity,REGB_A,Regional Broker,mid,63836,100.1,6389887.76,7309106,0.8734,1,2,0,0,SSI Mismatch,1.0,0
2024-01-05,CVX,Energy,large,Energy Equity,HEDGE_B,Hedge Fund,mid,235933,155.03,36576801.68,13384047,1.7628,1,3,0,0,SSI Mismatch,1.0,0
2024-01-05,CVX,Energy,large,Energy Equity,PRIME_A,Prime Broker,large,219498,155.03,34028876.06,13384047,1.64,1,2,0,0,SSI Mismatch,1.0,0
2024-01-05,UNH,Healthcare,large,Healthcare Equity,CUSTODY_A,Custodian,large,24364,515.42,12557659.12,3802339,0.6408,1,5,1,0,Custodian Delay,1.0,0
2024-01-05,WMT,Consumer,large,Consumer Equity,REGB_A,Regional Broker,mid,257074,194.5,49999931.46,10943878,2.349,1,3,0,0,System Issue,1.0,0
2024-01-05,COST,Consumer,large,Consumer Equity,PRIME_C,Prime Broker,large,19747,890.47,17584118.61,3148413,0.6272,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-05,BBAI,Technology,mid,Technology Equity,REGB_B,Regional Broker,mid,500000,3.2,1601137.71,22431042,2.2291,1,2,0,0,Custodian Delay,1.0,0
2024-01-05,SOFI,Financials,mid,Financials Equity,HEDGE_A,Hedge Fund,mid,500000,10.49,5246301.07,28049096,1.7826,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-05,HOOD,Financials,mid,Financials Equity,REGB_A,Regional Broker,mid,500000,17.92,8961568.59,37781355,1.3234,1,3,0,0,Custodian Delay,1.0,0
2024-01-05,CLOV,Healthcare,mid,Healthcare Equity,FOREIGN_A,Foreign Dealer,large,500000,1.81,902593.75,42409781,1.179,1,3,0,0,Custodian Delay,1.0,0
2024-01-05,NKLA,Consumer,mid,Consumer Equity,CUSTODY_B,Custodian,large,500000,0.9,449288.74,52578199,0.951,1,2,0,0,Custodian Delay,1.0,0
2024-01-05,QQQ,ETF,large,ETF,PRIME_A,Prime Broker,large,102298,488.76,49999658.21,56141557,0.1822,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-05,IWM,ETF,mid,ETF,HEDGE_A,Hedge Fund,mid,230898,216.55,49999976.97,27732532,0.8326,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-05,IWM,ETF,mid,ETF,PRIME_B,Prime Broker,large,230898,216.55,49999976.97,27732532,0.8326,1,2,0,0,SSI Mismatch,1.0,0
2024-01-05,ARK,ETF,mid,ETF,PRIME_B,Prime Broker,large,346679,52.01,18030556.51,10104903,3.4308,1,2,0,0,Custodian Delay,1.0,0
2024-01-05,ARK,ETF,mid,ETF,HEDGE_A,Hedge Fund,mid,500000,52.01,26004685.18,10104903,4.9481,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-08,AAPL,Technology,large,Technology Equity,REGB_B,Regional Broker,mid,270124,185.1,49999989.24,57341555,0.4711,1,2,0,0,SSI Mismatch,1.0,0
2024-01-08,AMZN,Consumer,large,Consumer Equity,HEDGE_A,Hedge Fund,mid,270035,185.16,49999975.17,36978039,0.7303,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-08,NVDA,Technology,large,Technology Equity,FOREIGN_A,Foreign Dealer,large,383422,130.4,49999966.58,222029887,0.1727,1,3,0,0,Custodian Delay,1.0,0
2024-01-08,META,Technology,large,Technology Equity,HEDGE_A,Hedge Fund,mid,95319,524.55,49999955.63,18149236,0.5252,1,2,0,0,Counterparty Error,1.0,0
2024-01-08,META,Technology,large,Technology Equity,PRIME_C,Prime Broker,large,95319,524.55,49999955.63,18149236,0.5252,2,5,1,0,Securities Lending Recall,1.0,0
2024-01-08,META,Technology,large,Technology Equity,FOREIGN_B,Foreign Dealer,large,95319,524.55,49999955.63,18149236,0.5252,1,2,0,0,Corporate Action,1.0,0
2024-01-08,WFC,Financials,large,Financials Equity,PRIME_C,Prime Broker,large,458512,57.85,26522928.77,25249384,1.8159,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-08,XOM,Energy,large,Energy Equity,REGB_A,Regional Broker,mid,192390,120.85,23250771.89,19958116,0.964,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-08,JNJ,Healthcare,large,Healthcare Equity,HEDGE_B,Hedge Fund,mid,82264,154.49,12709254.5,10265071,0.8014,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-08,UNH,Healthcare,large,Healthcare Equity,HEDGE_B,Hedge Fund,mid,65167,515.97,33624212.87,2172259,3.0,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-08,MRK,Healthcare,large,Healthcare Equity,HEDGE_B,Hedge Fund,mid,66402,129.79,8618463.08,8375978,0.7928,1,5,1,0,Securities Lending Recall,1.0,0
2024-01-08,COST,Consumer,large,Consumer Equity,FOREIGN_A,Foreign Dealer,large,24458,890.27,21774122.02,2361737,1.0356,1,5,1,0,SSI Mismatch,1.0,0
2024-01-08,COST,Consumer,large,Consumer Equity,PRIME_B,Prime Broker,large,32430,890.27,28871321.33,2361737,1.3731,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-08,COST,Consumer,large,Consumer Equity,PRIME_C,Prime Broker,large,18297,890.27,16289194.15,2361737,0.7747,2,3,0,0,Corporate Action,1.0,0
2024-01-08,LCID,Consumer,mid,Consumer Equity,HEDGE_B,Hedge Fund,mid,500000,3.48,1740168.31,35092910,1.4248,1,2,0,0,Counterparty Error,1.0,0
2024-01-08,BBAI,Technology,mid,Technology Equity,PRIME_A,Prime Broker,large,448001,3.2,1435421.94,19507445,2.2966,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-08,OPEN,Financials,mid,Financials Equity,CUSTODY_B,Custodian,large,62965,2.83,178319.08,20409640,0.3085,1,2,0,0,Custodian Delay,1.0,0
2024-01-08,SOFI,Financials,mid,Financials Equity,FOREIGN_B,Foreign Dealer,large,420716,10.48,4409227.8,40976959,1.0267,1,2,0,0,SSI Mismatch,1.0,0
2024-01-08,HOOD,Financials,mid,Financials Equity,FOREIGN_A,Foreign Dealer,large,500000,18.14,9068581.97,27313506,1.8306,1,2,0,0,FX Settlement Mismatch,1.0,0
2024-01-08,CLOV,Healthcare,mid,Healthcare Equity,HEDGE_B,Hedge Fund,mid,500000,1.79,893635.59,43967770,1.1372,1,3,0,0,Counterparty Error,1.0,0
2024-01-08,NKLA,Consumer,mid,Consumer Equity,PRIME_C,Prime Broker,large,500000,0.9,448876.01,49630893,1.0074,1,2,0,0,Custodian Delay,1.0,0
2024-01-08,IWM,ETF,mid,ETF,REGB_A,Regional Broker,mid,233496,214.14,49999891.12,21509458,1.0856,1,3,0,0,Short Sale Locate Failure,1.0,0
2024-01-08,ARK,ETF,mid,ETF,HEDGE_B,Hedge Fund,mid,466049,52.07,24266319.71,14654998,3.1801,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-08,TLT,Bond ETF,large,Bond ETF,PRIME_A,Prime Broker,large,181752,95.32,17324540.93,21213807,0.8568,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-08,HYG,Bond ETF,large,Bond ETF,CUSTODY_B,Custodian,large,269540,75.96,20473647.92,21363679,1.2617,1,2,0,0,Custodian Delay,1.0,0
2024-01-08,HYG,Bond ETF,large,Bond ETF,FOREIGN_A,Foreign Dealer,large,288709,75.96,21929681.75,21363679,1.3514,1,2,0,0,FX Settlement Mismatch,1.0,0
2024-01-08,HYG,Bond ETF,large,Bond ETF,PRIME_A,Prime Broker,large,146581,75.96,11133960.77,21363679,0.6861,1,2,0,0,Corporate Action,1.0,0
2024-01-09,META,Technology,large,Technology Equity,PRIME_B,Prime Broker,large,96324,519.08,49999673.99,19273159,0.4998,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-09,META,Technology,large,Technology Equity,CUSTODY_A,Custodian,large,96324,519.08,49999673.99,19273159,0.4998,1,3,0,0,Custodian Delay,1.0,0
2024-01-09,META,Technology,large,Technology Equity,HEDGE_B,Hedge Fund,mid,96324,519.08,49999673.99,19273159,0.4998,1,2,0,0,Counterparty Error,1.0,0
2024-01-09,JPM,Financials,large,Financials Equity,FOREIGN_A,Foreign Dealer,large,228816,201.01,45993985.96,13244396,1.7276,1,5,1,0,FX Settlement Mismatch,1.0,0
2024-01-09,GS,Financials,large,Financials Equity,REGB_A,Regional Broker,mid,14209,478.84,6803826.94,2073489,0.6853,1,2,0,0,Corporate Action,1.0,0
2024-01-09,XOM,Energy,large,Energy Equity,HEDGE_A,Hedge Fund,mid,413535,120.91,49999882.79,16537935,2.5005,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-09,PFE,Healthcare,large,Healthcare Equity,CUSTODY_A,Custodian,large,152957,28.05,4289942.7,33175635,0.4611,1,2,0,0,Corporate Action,1.0,0
2024-01-09,PFE,Healthcare,large,Healthcare Equity,PRIME_C,Prime Broker,large,356285,28.05,9992626.9,33175635,1.0739,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-09,PFE,Healthcare,large,Healthcare Equity,HEDGE_A,Hedge Fund,mid,500000,28.05,14023361.78,33175635,1.5071,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-09,MRK,Healthcare,large,Healthcare Equity,REGB_B,Regional Broker,mid,131902,128.95,17008213.06,7205734,1.8305,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-09,MRK,Healthcare,large,Healthcare Equity,HEDGE_A,Hedge Fund,mid,216172,128.95,27874478.28,7205734,3.0,1,5,1,0,Short Sale Locate Failure,1.0,0
2024-01-09,BBAI,Technology,mid,Technology Equity,PRIME_C,Prime Broker,large,299528,3.2,959705.66,18397311,1.6281,1,2,0,0,SSI Mismatch,1.0,0
2024-01-09,OPEN,Financials,mid,Financials Equity,FOREIGN_B,Foreign Dealer,large,500000,2.8,1402196.12,21289025,2.3486,1,2,0,0,FX Settlement Mismatch,1.0,0
2024-01-09,OPEN,Financials,mid,Financials Equity,HEDGE_A,Hedge Fund,mid,500000,2.8,1402196.12,21289025,2.3486,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-09,OPEN,Financials,mid,Financials Equity,FOREIGN_A,Foreign Dealer,large,500000,2.8,1402196.12,21289025,2.3486,1,2,0,0,SSI Mismatch,1.0,0
2024-01-09,HOOD,Financials,mid,Financials Equity,HEDGE_B,Hedge Fund,mid,500000,17.99,8994756.98,37040808,1.3499,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-09,NKLA,Consumer,mid,Consumer Equity,REGB_B,Regional Broker,mid,500000,0.91,453575.84,49483013,1.0104,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-09,QQQ,ETF,large,ETF,HEDGE_B,Hedge Fund,mid,102116,489.64,49999848.4,34998525,0.2918,1,2,0,0,Counterparty Error,1.0,0
2024-01-09,IWM,ETF,mid,ETF,PRIME_A,Prime Broker,large,232518,215.04,49999865.89,27571752,0.8433,1,2,0,0,System Issue,1.0,0
2024-01-09,ARK,ETF,mid,ETF,HEDGE_A,Hedge Fund,mid,500000,51.73,25863363.63,11877582,4.2096,2,4,1,0,Short Sale Locate Failure,1.0,0
2024-01-09,ARKK,ETF,mid,ETF,REGB_B,Regional Broker,mid,500000,47.81,23904155.38,20894424,2.393,1,2,0,0,Custodian Delay,1.0,0
2024-01-09,ARKK,ETF,mid,ETF,HEDGE_B,Hedge Fund,mid,500000,47.81,23904155.38,20894424,2.393,1,2,0,0,Counterparty Error,1.0,0
2024-01-09,HYG,Bond ETF,large,Bond ETF,HEDGE_A,Hedge Fund,mid,367978,76.37,28102788.59,20296781,1.813,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-09,LQD,Bond ETF,large,Bond ETF,REGB_B,Regional Broker,mid,165770,107.7,17854175.8,17013460,0.9743,1,2,0,0,SSI Mismatch,1.0,0
2024-01-10,AAPL,Technology,large,Technology Equity,CUSTODY_B,Custodian,large,209689,185.31,38857784.01,57525517,0.3645,1,2,0,0,Custodian Delay,1.0,0
2024-01-10,AAPL,Technology,large,Technology Equity,HEDGE_A,Hedge Fund,mid,269815,185.31,49999823.51,57525517,0.469,1,3,0,0,Securities Lending Recall,1.0,0
2024-01-10,GOOGL,Technology,large,Technology Equity,FOREIGN_A,Foreign Dealer,large,285209,175.31,49999932.23,31188941,0.9145,1,2,0,0,SSI Mismatch,1.0,0
2024-01-10,GOOGL,Technology,large,Technology Equity,HEDGE_A,Hedge Fund,mid,285209,175.31,49999932.23,31188941,0.9145,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-10,NVDA,Technology,large,Technology Equity,CUSTODY_B,Custodian,large,383433,130.4,49999986.02,490769387,0.0781,1,2,0,0,Securities Lending Recall,1.0,0
2024-01-10,NVDA,Technology,large,Technology Equity,REGB_A,Regional Broker,mid,383433,130.4,49999986.02,490769387,0.0781,1,4,1,0,Securities Lending Recall,1.0,0
2024-01-10,META,Technology,large,Technology Equity,CUSTODY_B,Custodian,large,96310,519.15,49999798.97,19118068,0.5038,1,2,0,0,Custodian Delay,1.0,0
2024-01-10,META,Technology,large,Technology Equity,FOREIGN_B,Foreign Dealer,large,96310,519.15,49999798.97,19118068,0.5038,2,2,0,0,Corporate Action,1.0,0
2024-01-10,TSLA,Consumer,large,Consumer Equity,REGB_B,Regional Broker,mid,204483,244.52,49999924.24,74685774,0.2738,1,2,0,0,Custodian Delay,1.0,0
2024-01-10,TSLA,Consumer,large,Consumer Equity,HEDGE_B,Hedge Fund,mid,204483,244.52,49999924.24,74685774,0.2738,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-10,JPM,Financials,large,Financials Equity,PRIME_B,Prime Broker,large,161712,200.7,32456041.72,10386679,1.5569,1,2,0,0,Short Sale Locate Failure,1.0,0
2024-01-10,BAC,Financials,large,Financials Equity,HEDGE_B,Hedge Fund,mid,427094,37.99,16226815.45,47454165,0.9,1,5,1,0,Counterparty Error,1.0,0
2024-01-10,BAC,Financials,large,Financials Equity,PRIME_B,Prime Broker,large,500000,37.99,18996772.9,47454165,1.0536,1,2,0,0,Corporate Action,1.0,0
2024-01-10,GS,Financials,large,Financials Equity,HEDGE_A,Hedge Fund,mid,27884,481.28,13419936.93,2589622,1.0768,1,4,1,0,Securities Lending Recall,1.0,0
